Registration No.,Name,Age,Gender,Education,Interest,Emotional Stability (%),Conscientiousness (%),Openness (%),Thinking Score,Extroversion (%),Agreeableness (%),Neuroticism (%),Dominance (%),Risk Taking (%)
144,Aanya,73,Male,Post Graduation,Photography,25,6,55,9,90,64,72,66,96
145,Vihaan,24,Male,Post Graduation,Cooking,46,65,50,18,30,47,5,25,35
147,Priya,41,Male,Post Graduation,Cooking,86,51,49,53,62,50,43,95,14
153,Rohan,89,Male,Post Graduation,Gaming,14,2,54,96,5,6,1,32,24
154,Aryan,83,Female,School,Cooking,82,10,66,29,63,25,2,68,37
155,Diya,11,Female,School,Painting,80,15,12,91,89,14,98,12,12
162,Priya,97,Male,Post Graduation,Music,60,57,19,6,41,60,88,48,6
163,Vihaan,56,Male,Graduation,Reading,36,33,65,52,43,73,64,3,52
175,Ananya,66,Female,School,Music,50,64,78,7,63,49,4,3,12
178,Riya,24,Female,Post Graduation,Photography,86,69,51,70,24,67,64,41,19
183,Aanya,79,Female,Graduation,Music,70,65,39,66,66,83,4,4,82
186,Aditya,46,Male,Graduation,Reading,56,79,56,11,57,49,44,26,93
199,Kabir,26,Male,Post Graduation,Music,47,8,41,60,2,15,39,18,2
204,Sanya,15,Male,School,Gaming,85,49,41,62,97,15,37,11,95
208,Aditya,12,Male,School,Music,40,71,25,5,53,0,61,10,25
210,Aarav,95,Male,Graduation,Writing,32,85,2,67,24,32,54,4,94
224,Kabir,39,Male,Graduation,Sports,92,63,48,87,14,42,47,54,75
231,Sai,59,Male,Post Graduation,Music,76,52,76,38,99,61,55,34,97
245,Krishna,93,Male,Post Graduation,Writing,93,3,0,80,12,21,94,60,32
246,Priya,51,Female,Post Graduation,Traveling,81,57,25,79,94,27,13,26,36
249,Sai,48,Male,Post Graduation,Sports,66,86,82,7,10,94,76,13,44
252,Sai,66,Female,Graduation,Cooking,13,51,15,2,74,69,9,30,65
253,Sai,27,Male,Graduation,Reading,52,57,3,96,16,17,85,38,51
255,Vivaan,65,Female,School,Dancing,24,77,18,83,13,10,59,78,75
257,Aryan,7,Female,School,Painting,43,63,95,27,66,22,48,20,83
266,Riya,43,Male,School,Dancing,94,41,50,71,4,38,52,39,3
267,Aanya,55,Female,Post Graduation,Cooking,36,33,65,14,95,94,90,71,46
269,Vivaan,35,Male,Graduation,Writing,11,70,2,15,3,39,34,14,48
271,Priya,2,Male,School,Music,48,53,40,38,28,73,73,68,56
282,Aditya,85,Female,Graduation,Traveling,62,27,98,53,63,62,99,74,37
283,Myra,42,Male,Graduation,Reading,11,62,65,23,100,53,89,35,74
284,Krishna,31,Male,Post Graduation,Painting,60,13,54,76,10,73,64,99,14
291,Ishita,7,Male,School,Traveling,91,64,44,87,18,18,10,29,69
292,Aanya,3,Male,School,Writing,86,47,47,33,73,10,94,42,1
296,Aarav,47,Male,Graduation,Reading,77,10,62,85,97,95,65,28,8
297,Aanya,47,Female,Graduation,Photography,78,5,80,69,62,67,50,24,22
300,Aryan,60,Male,Graduation,Music,64,87,68,100,42,45,57,86,25
306,Aditya,98,Male,Post Graduation,Reading,84,2,31,4,77,28,61,23,73
307,Zara,70,Female,School,Music,46,51,58,22,10,18,41,99,87
310,Riya,9,Female,Graduation,Traveling,85,65,50,98,63,0,16,74,58
313,Sai,68,Female,School,Photography,72,15,67,34,12,98,21,12,79
316,Zara,13,Male,School,Writing,53,61,77,92,60,55,13,5,38
318,Ishita,85,Female,Post Graduation,Reading,77,99,72,31,53,42,17,35,42
321,Priya,78,Male,Post Graduation,Writing,81,93,31,27,41,93,7,0,31
322,Sanya,81,Female,Post Graduation,Writing,46,41,84,7,13,23,52,77,18
323,Kabir,76,Female,Post Graduation,Writing,12,89,11,58,1,1,60,17,89
334,Vihaan,92,Female,School,Music,27,69,41,74,91,6,99,98,94
345,Aanya,62,Male,Graduation,Gaming,42,97,13,98,13,49,11,92,32
348,Sanya,84,Male,Post Graduation,Cooking,69,53,31,7,86,22,36,94,16
349,Zara,11,Female,Post Graduation,Music,25,18,12,53,17,99,69,74,41
351,Ananya,91,Female,Post Graduation,Dancing,25,29,22,50,25,66,18,23,64
355,Aarav,12,Male,Graduation,Cooking,35,40,94,90,9,2,16,88,42
358,Aarav,28,Female,Post Graduation,Photography,91,46,91,69,27,3,96,33,49
359,Zara,79,Female,Graduation,Photography,45,79,69,14,91,90,10,90,94
368,Zara,16,Male,Post Graduation,Photography,83,31,49,44,16,17,9,63,41
389,Aanya,81,Male,Graduation,Painting,98,7,15,79,16,85,5,50,7
391,Aarav,85,Female,School,Painting,3,19,38,89,15,20,33,72,89
404,Aditya,48,Female,Graduation,Music,47,51,11,11,15,98,27,60,29
416,Riya,2,Male,School,Dancing,98,44,40,71,30,21,18,96,58
421,Arjun,4,Male,Graduation,Painting,97,19,37,63,87,70,89,44,33
422,Riya,5,Female,Post Graduation,Writing,2,65,96,22,15,60,24,9,4
429,Sanya,92,Male,Graduation,Photography,85,95,80,82,18,57,49,35,69
434,Ishita,15,Female,Post Graduation,Sports,71,70,4,45,54,81,45,58,52
439,Krishna,33,Female,Graduation,Photography,32,81,80,43,49,5,3,77,51
443,Ishita,56,Female,Graduation,Gaming,47,19,78,100,69,11,35,11,88
447,Kabir,82,Male,School,Cooking,73,69,91,86,10,44,91,91,63
458,Sanya,70,Female,Graduation,Reading,29,61,9,26,76,79,43,37,86
459,Arjun,53,Male,Graduation,Music,3,15,28,88,65,73,0,97,7
461,Aryan,28,Male,School,Cooking,11,76,43,56,15,24,3,75,63
464,Vivaan,19,Female,Graduation,Photography,74,24,29,93,22,75,15,66,42
466,Aanya,8,Male,Post Graduation,Gaming,34,26,29,82,70,15,5,85,84
468,Vihaan,1,Female,Post Graduation,Photography,1,73,61,18,64,47,86,75,23
469,Ishita,21,Male,Post Graduation,Music,93,96,44,90,38,71,90,67,29
472,Sai,57,Female,School,Cooking,39,33,7,47,94,58,66,44,71
481,Ishita,73,Female,Graduation,Cooking,33,38,1,14,72,70,95,45,74
493,Ishita,65,Male,School,Dancing,53,76,40,60,42,60,96,37,59
494,Aanya,25,Male,Graduation,Photography,58,18,30,22,15,9,5,23,94
498,Kabir,89,Male,School,Music,43,78,52,84,20,1,46,12,61
500,Ananya,9,Female,Post Graduation,Writing,79,86,69,68,29,93,49,95,43
515,Riya,97,Male,Graduation,Writing,58,7,38,81,63,60,81,44,15
517,Aanya,48,Female,School,Sports,20,78,86,44,9,65,4,61,47
520,Arjun,81,Male,Graduation,Dancing,56,45,76,68,33,41,45,57,98
522,Sai,61,Female,Post Graduation,Dancing,81,20,61,82,2,62,0,80,71
532,Kabir,68,Female,Graduation,Gaming,66,13,19,45,74,77,79,77,18
542,Riya,49,Female,School,Traveling,38,69,0,83,71,52,44,69,50
544,Ishita,19,Female,Post Graduation,Reading,93,9,48,33,38,2,85,10,4
550,Diya,38,Female,School,Writing,20,38,28,80,25,80,64,43,81
554,Tanvi,36,Female,Graduation,Dancing,59,12,67,14,87,51,13,64,26
560,Aryan,37,Male,Post Graduation,Photography,60,53,72,55,77,50,85,15,45
565,Aryan,66,Male,Graduation,Painting,84,5,4,78,24,31,79,31,26
568,Aanya,24,Female,School,Gaming,69,1,85,2,100,19,95,10,38
575,Zara,11,Female,Post Graduation,Writing,34,54,86,78,83,67,13,94,79
583,Aditya,41,Male,School,Gaming,56,76,47,22,37,69,78,35,7
584,Rohan,6,Male,Graduation,Gaming,23,3,33,54,9,80,15,32,86
588,Tanvi,10,Female,School,Sports,83,83,22,35,82,41,28,47,62
589,Ishita,92,Female,Post Graduation,Reading,1,53,67,86,8,74,86,92,5
594,Sanya,61,Female,Graduation,Gaming,28,65,99,39,13,10,41,62,10
599,Myra,17,Female,School,Cooking,58,57,18,98,94,42,94,54,49
602,Kabir,73,Female,Post Graduation,Dancing,46,48,25,22,58,34,61,19,31
612,Priya,18,Male,Graduation,Dancing,72,88,50,65,44,25,84,87,98
613,Aryan,72,Female,Graduation,Dancing,27,34,30,19,85,99,51,50,20
618,Priya,38,Male,School,Sports,72,84,4,47,36,76,53,67,14
620,Aanya,16,Female,Post Graduation,Traveling,34,58,42,63,40,29,71,60,69
624,Sanya,64,Female,School,Dancing,29,46,31,92,99,70,9,80,83
626,Priya,39,Female,Graduation,Music,35,68,43,21,79,57,80,78,2
629,Priya,60,Female,Graduation,Traveling,16,52,39,64,15,39,31,90,70
632,Zara,37,Male,Post Graduation,Reading,16,11,96,34,60,25,30,42,49
637,Rohan,84,Male,Post Graduation,Painting,36,43,43,78,37,84,89,79,78
640,Krishna,82,Female,School,Music,43,36,8,77,56,80,61,37,31
647,Vihaan,94,Female,Graduation,Gaming,23,87,15,19,6,70,61,71,66
650,Arjun,91,Female,Graduation,Cooking,59,57,82,36,44,49,76,8,100
651,Vivaan,87,Female,Graduation,Dancing,20,87,8,8,16,33,95,69,95
653,Rohan,85,Female,Graduation,Painting,17,77,4,2,44,70,79,84,30
661,Zara,49,Male,School,Dancing,12,6,0,13,29,14,77,21,46
663,Ananya,77,Female,Post Graduation,Photography,65,98,59,86,59,71,69,4,41
664,Sai,34,Female,Post Graduation,Cooking,43,63,25,59,33,90,65,2,79
673,Sai,55,Female,School,Reading,66,68,70,11,43,4,58,20,92
687,Myra,54,Female,Graduation,Cooking,91,77,93,93,67,22,21,22,63
691,Priya,26,Male,School,Photography,34,88,81,5,45,56,3,73,86
694,Kabir,54,Female,Post Graduation,Dancing,70,49,68,28,9,55,81,94,96
695,Riya,86,Male,Graduation,Traveling,97,56,39,91,48,43,15,44,88
699,Vivaan,38,Male,Graduation,Sports,37,13,62,49,31,22,82,42,71
701,Tanvi,63,Female,Post Graduation,Sports,13,91,8,24,14,36,94,2,50
714,Tanvi,8,Male,School,Reading,46,58,57,65,5,28,71,57,32
717,Aryan,15,Male,Post Graduation,Photography,29,5,53,85,51,99,98,5,69
721,Aryan,19,Female,Post Graduation,Traveling,25,30,88,67,58,46,97,48,43
722,Tanvi,24,Female,Graduation,Writing,25,78,57,66,60,58,11,87,73
725,Aryan,33,Female,Post Graduation,Writing,73,33,63,88,28,68,75,89,34
731,Aarav,93,Male,Post Graduation,Music,98,32,10,61,18,20,64,70,86
736,Kabir,2,Male,Post Graduation,Dancing,90,84,52,1,70,30,84,12,29
742,Aarav,64,Male,School,Cooking,78,38,64,13,30,63,78,61,42
743,Kabir,6,Male,Post Graduation,Painting,89,7,72,20,99,92,45,26,95
750,Aditya,65,Female,School,Dancing,26,43,30,15,60,65,70,14,100
757,Ishita,39,Female,Graduation,Gaming,93,6,91,60,62,28,62,10,20
764,Myra,7,Female,School,Cooking,28,60,68,91,18,58,59,73,72
777,Zara,47,Female,School,Reading,11,44,89,59,41,9,67,45,10
785,Riya,15,Female,Graduation,Writing,63,97,57,71,58,73,6,28,91
786,Kabir,66,Female,Graduation,Dancing,27,31,89,13,82,77,10,100,99
788,Priya,97,Male,Graduation,Cooking,33,47,28,93,30,69,15,8,90
794,Zara,50,Male,School,Painting,12,78,49,5,81,3,73,16,86
804,Aditya,56,Female,Post Graduation,Sports,69,18,58,61,21,22,20,6,48
805,Sai,98,Female,School,Photography,86,57,69,38,60,85,29,74,29
811,Aditya,1,Female,Post Graduation,Photography,22,34,26,91,22,95,90,16,81
815,Myra,90,Female,Post Graduation,Traveling,93,99,67,88,16,74,80,91,96
823,Diya,6,Female,Post Graduation,Photography,84,99,93,77,85,15,13,30,65
825,Sai,11,Female,Post Graduation,Music,84,58,70,77,92,91,25,71,50
846,Myra,57,Female,School,Reading,88,20,48,31,11,29,39,7,90
852,Zara,13,Female,Graduation,Photography,29,49,94,86,97,50,83,94,69
853,Kabir,94,Male,Graduation,Sports,69,78,83,21,100,23,21,41,89
857,Zara,62,Male,Post Graduation,Traveling,41,64,82,42,62,24,88,46,40
861,Aarav,94,Female,Graduation,Reading,94,62,7,8,9,35,24,91,74
866,Tanvi,64,Female,School,Gaming,64,13,79,87,42,39,5,39,7
871,Riya,28,Female,Graduation,Dancing,71,48,20,61,43,10,93,88,35
874,Aryan,3,Male,Graduation,Writing,78,90,36,67,2,52,32,45,82
876,Sai,38,Female,Post Graduation,Gaming,12,98,4,11,24,62,93,90,82
880,Aarav,16,Female,Graduation,Photography,13,50,10,52,10,85,40,52,87
883,Rohan,41,Female,School,Gaming,23,3,5,38,97,8,3,94,67
887,Arjun,32,Male,Post Graduation,Photography,43,44,12,16,14,82,23,48,34
898,Sanya,94,Female,School,Gaming,90,57,37,35,31,5,98,8,58
900,Zara,66,Male,Graduation,Dancing,90,68,25,10,69,54,82,76,42
903,Zara,99,Male,School,Writing,87,73,6,78,21,22,27,40,62
904,Aryan,82,Male,Post Graduation,Writing,38,75,23,20,60,93,81,71,15
905,Priya,83,Male,School,Gaming,41,62,100,15,60,18,78,11,91
907,Sanya,45,Female,Graduation,Writing,5,36,65,21,7,92,93,6,0
909,Ishita,60,Female,Graduation,Cooking,63,71,60,81,95,41,93,93,43
918,Vihaan,67,Male,Graduation,Reading,54,90,48,85,4,75,53,93,34
921,Aarav,30,Male,School,Painting,33,38,64,21,15,22,87,78,78
923,Diya,17,Female,School,Traveling,41,52,32,2,23,15,36,23,56
938,Zara,49,Male,School,Music,83,3,46,40,52,86,65,61,12
943,Diya,83,Male,Post Graduation,Cooking,60,39,81,69,64,61,71,80,71
951,Sanya,14,Female,School,Reading,85,91,86,46,89,40,21,97,13
954,Ishita,31,Female,Graduation,Dancing,56,95,4,46,91,87,98,56,98
959,Ananya,80,Female,Post Graduation,Painting,51,40,96,81,90,85,3,3,40
970,Aditya,29,Female,School,Sports,15,90,84,1,89,28,15,5,19
975,Riya,57,Male,Post Graduation,Photography,83,47,46,93,80,43,97,44,56
976,Ishita,19,Male,School,Painting,30,55,72,63,46,34,27,67,1
978,Aanya,28,Male,Graduation,Painting,77,78,11,17,69,87,47,96,21
979,Vihaan,72,Female,Graduation,Music,48,24,17,58,58,37,27,33,88
984,Aarav,63,Female,School,Dancing,98,82,77,49,19,35,58,2,97
986,Priya,88,Female,School,Sports,52,18,17,77,30,34,49,50,27
988,Kabir,95,Female,School,Reading,67,46,45,24,36,90,98,34,73
990,Kabir,41,Female,Post Graduation,Photography,90,44,54,38,47,88,91,29,72
992,Ananya,26,Male,School,Sports,37,74,100,45,81,22,90,70,74
996,Sai,45,Female,Graduation,Gaming,38,32,91,50,72,20,68,7,19
1006,Sai,13,Female,Post Graduation,Sports,71,52,27,23,40,42,19,77,29
1013,Arjun,73,Male,School,Writing,9,97,11,44,73,11,51,5,25
1015,Arjun,79,Female,Graduation,Photography,35,43,60,44,73,95,29,36,78
1030,Aanya,45,Male,Post Graduation,Writing,96,80,85,77,89,25,41,59,78
1032,Rohan,97,Male,Graduation,Music,60,20,66,56,63,94,76,92,17
1035,Myra,38,Male,School,Cooking,27,10,26,92,44,20,3,6,97
1037,Zara,76,Male,Graduation,Cooking,50,17,43,56,94,76,52,66,37
1039,Tanvi,50,Male,Graduation,Photography,1,17,14,60,7,22,13,53,68
1056,Vivaan,14,Male,School,Sports,45,72,40,57,40,66,29,4,6
1057,Priya,88,Male,School,Writing,12,17,21,42,1,6,35,17,99
1060,Sanya,22,Female,Graduation,Sports,4,10,7,14,37,62,36,54,100
1065,Ananya,53,Male,Graduation,Sports,54,87,0,86,26,1,24,57,88
1067,Riya,40,Male,Post Graduation,Cooking,73,46,100,27,42,44,86,22,93
1069,Aanya,78,Male,School,Reading,49,87,60,44,77,40,7,12,64
1073,Myra,25,Female,School,Reading,72,45,45,18,9,50,32,54,96
1085,Aditya,80,Female,School,Cooking,35,82,11,40,60,51,43,31,24
1087,Aarav,95,Male,Graduation,Gaming,58,30,9,97,61,67,11,8,50
1092,Aryan,27,Female,Graduation,Painting,79,57,2,28,58,0,33,20,93
1116,Rohan,29,Female,Graduation,Music,55,48,62,74,75,86,73,4,81
1120,Sai,47,Male,Graduation,Painting,50,28,94,42,35,36,81,33,23
1121,Aarav,29,Male,Post Graduation,Painting,33,4,55,79,33,90,73,76,96
1126,Priya,83,Female,School,Cooking,80,10,16,63,49,15,27,40,37
1127,Riya,52,Female,Post Graduation,Painting,10,65,45,12,73,57,84,43,11
1134,Kabir,39,Female,Post Graduation,Reading,31,77,92,77,4,69,74,50,93
1136,Krishna,81,Female,Post Graduation,Dancing,27,30,71,82,29,84,48,93,53
1137,Diya,48,Male,Graduation,Sports,7,38,54,80,60,14,12,7,36
1149,Aditya,98,Female,School,Sports,40,49,14,98,5,23,7,92,51
1151,Vivaan,58,Male,School,Music,37,50,86,74,30,34,27,0,39
1154,Ananya,75,Female,Graduation,Writing,46,18,93,85,20,69,3,90,92
1158,Rohan,19,Female,Graduation,Dancing,13,2,42,83,74,68,44,61,37
1160,Kabir,31,Male,Graduation,Music,84,3,82,3,60,68,39,1,54
1163,Kabir,44,Male,School,Writing,95,96,81,95,5,82,39,63,77
1164,Krishna,43,Male,Post Graduation,Dancing,52,94,69,76,80,62,68,77,6
1169,Ishita,19,Female,Graduation,Photography,84,18,37,29,22,99,37,24,9
1170,Myra,70,Male,Post Graduation,Writing,76,72,76,63,29,27,69,92,39
1176,Rohan,49,Male,Post Graduation,Painting,24,95,64,55,74,85,38,44,62
1177,Aanya,22,Female,Graduation,Reading,95,7,30,8,55,9,68,9,2
1189,Zara,8,Male,Post Graduation,Sports,38,99,0,37,50,32,50,24,3
1190,Kabir,37,Female,Graduation,Photography,55,42,68,99,62,76,11,62,4
1192,Riya,42,Male,Post Graduation,Photography,88,66,13,70,6,66,24,75,34
1193,Aarav,1,Female,School,Music,11,76,87,82,2,52,9,42,67
1198,Myra,37,Male,Graduation,Dancing,30,12,57,46,74,88,91,51,62
1202,Arjun,16,Female,Graduation,Reading,8,63,85,24,5,9,42,46,33
1207,Aarav,39,Male,Graduation,Gaming,71,42,54,28,73,19,40,33,54
1208,Zara,91,Male,Graduation,Reading,41,38,73,95,15,30,37,22,94
1209,Myra,10,Female,Graduation,Traveling,72,92,23,32,66,95,33,7,88
1211,Sanya,80,Female,School,Traveling,28,41,2,98,44,16,5,0,67
1219,Riya,54,Female,Post Graduation,Dancing,17,38,73,69,34,3,7,95,41
1225,Krishna,69,Female,School,Sports,90,17,87,59,56,81,24,50,76
1228,Vihaan,87,Male,School,Sports,58,20,11,48,6,28,62,3,34
1231,Arjun,37,Male,School,Music,56,96,2,100,71,0,52,34,50
1232,Aditya,73,Female,Post Graduation,Dancing,51,78,99,29,50,97,42,23,60
1233,Aarav,95,Male,Post Graduation,Cooking,31,90,24,47,10,98,69,18,25
1235,Aryan,39,Male,School,Sports,53,66,50,61,58,73,3,96,2
1243,Myra,4,Male,Post Graduation,Cooking,57,5,52,17,13,63,37,5,9
1248,Myra,22,Male,Graduation,Photography,56,48,90,34,32,7,89,29,13
1253,Diya,9,Female,Post Graduation,Writing,7,50,57,70,19,22,87,12,37
1254,Arjun,91,Female,School,Dancing,99,0,1,85,70,7,80,61,91
1258,Ananya,65,Female,Graduation,Cooking,80,88,83,76,96,89,54,61,32
1260,Aryan,19,Female,Graduation,Reading,54,97,1,87,97,52,12,53,49
1264,Aryan,38,Male,Graduation,Music,88,55,79,55,9,29,93,28,20
1268,Krishna,50,Male,Post Graduation,Music,98,20,44,53,42,87,9,1,52
1271,Krishna,62,Male,School,Reading,51,75,88,36,99,54,51,3,93
1277,Kabir,72,Female,School,Writing,35,85,70,9,68,87,53,96,65
1279,Vihaan,26,Female,Graduation,Dancing,84,51,47,69,99,71,61,24,57
1283,Vihaan,79,Female,School,Gaming,81,76,31,41,31,24,95,86,46
1285,Priya,27,Female,Graduation,Gaming,6,17,75,38,5,91,50,51,75
1287,Sanya,63,Male,School,Dancing,26,7,83,55,89,5,22,38,33
1292,Kabir,82,Male,Post Graduation,Reading,57,31,64,99,64,0,49,31,16
1300,Ishita,28,Female,School,Dancing,92,84,16,45,5,3,77,22,56
1310,Aarav,50,Male,School,Painting,59,6,32,21,42,14,46,13,35
1316,Riya,16,Female,Graduation,Music,14,91,57,82,73,92,22,44,5
1319,Riya,59,Female,Graduation,Photography,72,25,26,21,51,59,37,2,93
1322,Riya,36,Female,Post Graduation,Reading,63,94,94,22,5,49,96,49,32
1324,Zara,62,Female,School,Painting,17,13,7,7,3,91,11,79,4
1332,Aryan,14,Female,School,Sports,65,2,53,27,13,86,12,92,59
1346,Kabir,19,Female,Post Graduation,Traveling,9,6,38,39,48,92,98,15,38
1354,Ananya,85,Female,School,Reading,42,72,96,6,91,54,37,70,48
1374,Tanvi,17,Female,School,Music,48,70,60,87,2,21,99,18,53
1375,Vivaan,39,Female,Post Graduation,Gaming,32,79,12,52,9,89,16,9,65
1376,Myra,8,Male,School,Dancing,89,60,16,35,60,76,42,4,80
1390,Aditya,10,Male,Post Graduation,Painting,78,50,91,31,50,2,51,21,34
1391,Rohan,48,Male,Post Graduation,Traveling,92,100,60,39,73,28,32,13,46
1394,Myra,10,Female,Post Graduation,Gaming,100,19,59,50,31,40,80,58,29
1402,Sai,49,Female,School,Photography,32,12,74,60,93,49,18,93,79
1403,Kabir,46,Female,School,Music,8,28,32,71,68,39,43,55,47
1406,Priya,73,Male,School,Traveling,100,17,2,89,58,48,40,20,84
1408,Sanya,75,Male,Post Graduation,Reading,3,62,57,3,36,24,36,90,85
1412,Ananya,53,Female,Graduation,Traveling,58,55,29,35,92,73,53,100,85
1413,Myra,94,Male,School,Dancing,24,65,91,5,71,7,75,18,52
1414,Aanya,72,Female,Post Graduation,Painting,22,53,10,52,96,38,34,12,79
1415,Priya,89,Female,School,Music,47,71,42,53,27,66,67,43,12
1420,Aanya,36,Female,School,Dancing,8,30,15,40,75,7,97,51,37
1423,Rohan,83,Female,Graduation,Photography,82,78,53,41,64,4,41,76,1
1427,Aditya,63,Male,Graduation,Dancing,43,9,41,33,49,56,69,1,13
1435,Sai,66,Female,School,Reading,52,54,76,51,24,8,41,39,75
1438,Vivaan,80,Male,Graduation,Sports,56,16,66,78,78,76,10,69,62
1455,Aarav,76,Male,Post Graduation,Music,73,7,30,10,86,70,24,22,7
1461,Kabir,87,Male,Post Graduation,Gaming,85,94,67,64,12,29,6,98,99
1463,Ananya,82,Female,Graduation,Photography,40,26,4,2,68,67,54,49,77
1471,Krishna,12,Female,Graduation,Painting,9,60,6,77,96,55,82,51,86
1472,Sai,64,Female,School,Sports,44,46,11,45,87,13,95,99,72
1480,Tanvi,75,Female,Post Graduation,Painting,70,70,2,6,47,94,20,24,28
1485,Tanvi,23,Male,Graduation,Photography,91,61,69,60,62,7,20,21,71
1487,Vivaan,81,Female,Graduation,Cooking,82,67,19,82,16,77,82,68,62
1499,Sai,28,Male,School,Sports,27,66,63,84,51,83,98,49,75
1500,Aditya,43,Female,Graduation,Cooking,40,91,3,37,60,35,60,100,59
1505,Arjun,12,Female,School,Gaming,10,65,66,43,63,79,27,63,25
1513,Zara,3,Male,Post Graduation,Photography,80,38,37,57,76,18,27,48,59
1516,Zara,10,Male,Post Graduation,Reading,71,77,60,48,65,38,59,35,68
1518,Ishita,30,Female,Post Graduation,Gaming,46,46,60,84,65,89,91,85,78
1533,Vihaan,19,Female,School,Dancing,55,37,54,91,77,46,100,30,50
1534,Aarav,63,Female,Post Graduation,Reading,30,65,78,31,45,4,70,19,27
1539,Diya,48,Male,School,Writing,45,9,56,93,37,29,8,40,89
1541,Ishita,9,Female,Post Graduation,Gaming,32,24,34,16,87,71,51,49,90
1542,Arjun,98,Male,Post Graduation,Music,32,31,45,31,53,81,13,48,5
1544,Krishna,84,Female,Graduation,Writing,43,61,85,17,21,26,74,93,1
1545,Sanya,47,Male,Graduation,Cooking,41,5,61,13,90,37,77,74,44
1547,Krishna,65,Male,Post Graduation,Painting,23,69,32,15,33,19,52,89,69
1551,Ishita,51,Male,Post Graduation,Cooking,59,86,85,63,57,66,6,17,38
1555,Myra,68,Female,School,Reading,31,92,35,27,56,99,2,61,22
1563,Aarav,60,Female,Graduation,Writing,71,31,16,21,41,28,19,99,44
1571,Zara,44,Female,Graduation,Writing,18,87,86,77,95,20,80,32,70
1573,Vihaan,73,Female,Post Graduation,Painting,93,18,16,44,71,33,91,17,39
1581,Aryan,93,Female,School,Dancing,42,25,96,22,51,9,8,24,78
1583,Myra,70,Female,Graduation,Music,18,53,2,19,47,90,95,29,2
1584,Krishna,58,Male,Graduation,Reading,8,35,95,83,56,90,48,38,66
1586,Zara,38,Female,Post Graduation,Music,59,99,11,79,1,100,17,26,16
1587,Rohan,44,Female,Graduation,Photography,17,42,27,5,83,4,78,51,14
1588,Myra,55,Female,School,Traveling,35,65,68,50,26,46,11,44,75
1592,Arjun,71,Male,Post Graduation,Reading,52,92,52,65,59,87,63,31,0
1597,Sai,81,Female,Graduation,Writing,16,93,9,29,49,11,37,25,5
1602,Aditya,94,Female,Graduation,Music,79,34,94,98,93,29,52,60,38
1605,Priya,62,Female,Graduation,Painting,50,56,64,100,18,49,36,89,64
1609,Aditya,28,Female,Post Graduation,Photography,54,5,14,4,22,41,100,100,87
1613,Arjun,96,Male,School,Photography,92,76,29,1,83,10,9,52,21
1620,Priya,72,Female,School,Photography,69,42,67,47,95,10,29,19,57
